#taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	domain
1437608	periphery	Bifidobacterium biavatii	Bifidobacterium biavatii DSM 23969	Bacteria
1437609	periphery	Bifidobacterium callitrichos	Bifidobacterium callitrichos DSM 23973	Bacteria
1437610	periphery	Bifidobacterium reuteri	Bifidobacterium reuteri DSM 23975	Bacteria
1437824	periphery	Castellaniella defragrans	Castellaniella defragrans 65Phen	Bacteria
1437874	periphery	Corynebacterium sphenisci	Corynebacterium sphenisci DSM 44792	Bacteria
1437875	periphery	Corynebacterium frankenforstense	Corynebacterium frankenforstense DSM 45800	Bacteria
1437876	periphery	Gordonia sp. QH12	Gordonia sp. QH-12	Bacteria
1437877	periphery	Xanthomonas phaseoli	Xanthomonas phaseoli pv. dieffenbachiae LMG 695	Bacteria
1439940	periphery	Pseudomonas sp. BAY1663	Pseudomonas sp. BAY1663	Bacteria
1440053	periphery	Streptomyces scopuliridis	Streptomyces scopuliridis RB72	Bacteria
1440762	periphery	Dyella japonica DSM 16301	Dyella japonica DSM 16301	Bacteria
1440763	periphery	Luteibacter rhizovicinus	Luteibacter rhizovicinus DSM 16549	Bacteria
1440774	periphery	Mycolicibacterium aromaticivorans	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	Bacteria
1441095	periphery	Bacillus gobiensis	Bacillus gobiensis	Bacteria
1441469	periphery	Talaromyces atroroseus	Talaromyces atroroseus	Eukaryotes
1441629	periphery	Pseudomonas cichorii	Pseudomonas cichorii JBC1	Bacteria
1441930	periphery	Chania multitudinisentens	Chania multitudinisentens RB-25	Bacteria
1442136	periphery	Ectothiorhodospira sp. BSL9	Ectothiorhodospira sp. BSL-9	Bacteria
1442368	periphery	Fonsecaea pedrosoi	Fonsecaea pedrosoi CBS 271.37	Eukaryotes
1442369	periphery	Rhinocladiella mackenziei	Rhinocladiella mackenziei CBS 650.93	Eukaryotes
1442371	periphery	Fonsecaea multimorphosa	Fonsecaea multimorphosa CBS 102226	Eukaryotes
1442598	periphery	Arcobacter cibarius	Arcobacter cibarius LMG 21996	Bacteria
1442599	periphery	Luteimonas huabeiensis	Luteimonas huabeiensis HB2	Bacteria
1443103	periphery	Snodgrassella alvi SCGC AB598O02	Snodgrassella alvi SCGC AB-598-O02	Bacteria
1443111	periphery	Sulfitobacter guttiformis	Sulfitobacter guttiformis KCTC 32187	Bacteria
1443113	periphery	Yersinia enterocolitica	Yersinia enterocolitica LC20	Bacteria
1443665	periphery	Aquimarina macrocephali	Aquimarina macrocephali JAMB N27	Bacteria
1443666	periphery	Aquimarina megaterium	Aquimarina megaterium	Bacteria
1443905	periphery	Rhodococcus fascians LMG3625	Rhodococcus fascians LMG 3625	Bacteria
1443941	periphery	Acinetobacter gandensis	Acinetobacter gandensis	Bacteria
1443993	periphery	Herbaspirillum sp. RV1423	Herbaspirillum sp. RV1423	Bacteria
1444314	periphery	Paenibacillus ehimensis	Paenibacillus ehimensis A2	Bacteria
1444712	core	Rubidus massiliensis	Candidatus Rubidus massiliensis	Bacteria
1444770	periphery	Xylella taiwanensis	Xylella taiwanensis	Bacteria
1445510	periphery	Gynuella sunshinyii	Gynuella sunshinyii YC6258	Bacteria
1445577	periphery	Colletotrichum fioriniae	Colletotrichum fioriniae PJ7	Eukaryotes
1445607	periphery	Bacteroides reticulotermitis	Bacteroides reticulotermitis JCM 10512	Bacteria
1446475	periphery	Halomonas zincidurans	Halomonas zincidurans B6	Bacteria
1447715	periphery	Bifidobacterium pseudolongum	Bifidobacterium pseudolongum PV8-2	Bacteria
1447716	periphery	Bifidobacterium kashiwanohense	Bifidobacterium kashiwanohense PV20-2	Bacteria
1447782	core	Wenxinia saemankumensis	Wenxinia saemankumensis	Bacteria
1447872	periphery	Emergomyces pasteurianus	Emergomyces pasteurianus Ep9510	Eukaryotes
1447875	periphery	Helicocarpus griseus	Helicocarpus griseus UAMH5409	Eukaryotes
1447883	periphery	Polytolypa hystricis	Polytolypa hystricis UAMH7299	Eukaryotes
1448308	core	Corynespora cassiicola	Corynespora cassiicola Philippines	Eukaryotes
1448315	periphery	Aspergillus uvarum	Aspergillus uvarum CBS 121591	Eukaryotes
1448316	periphery	Aspergillus ibericus	Aspergillus ibericus CBS 121593	Eukaryotes
